vin_label,failed,total_rows,n_weeks,active_days_total,rows_per_week,vsi_rest_median_med,vsi_rest_p05_med,vsi_drive_mean_med,vsi_drive_std_med,vsi_drive_p95_q90,vsi_below21_rate,vsi_above32_rate,rpm_mean_med,csp_mean_med,anr_pos_mean_med,sma1_per_active_day,ged3_rate,rows_week_cv,weeks_lt2_active,n_events,crank_dur_med_ms,dip_depth_med,dip_depth_p90,recovery_slope_med,rpm_max15_med,rpm_max15_p10,success_rate,retry_rate,baseline_vsi_med,min_vsi_crank_med,min_vsi_crank_p05,n_gaps_1h_1d,n_gaps_gt1d,dt_p99,vsi_drive_median,vsi_drive_std,n_runs_ge30min,max_stuck_run,n_bouts_ge3h,bout_hours_median,rest_slope_vph_median,rest_slope_vph_p10,vsi_settled_median,vsi_settled_p05,vsi_bout_start_median,events_per_active_day
VIN14_F_SM,true,2883142,69,457,41784.666666666664,24.6,24.2,27.98424,0.19711152,30.39,0.0006250786234482308,0.002684035726494876,957.9341,22.355988,454.43777,2.326039387308534,0.0,0.4286610451097877,1,669,15.0,4.492353439331055,8.19999885559082,0.9599998474121094,618.0700073242188,178.22999572753906,0.7010463378176383,0.20029895366218237,25.897435188293457,21.600000381469727,16.799999237060547,2,6,299.0,28.0,0.7121998,0,299,,,,,,,,1.463894967177243
VIN20_NF_SM,false,4372039,91,626,48044.38461538462,25.0,24.6,27.977798,0.15817162,28.2,0.0011232390517516397,0.000024881877728675563,937.0048,25.047853,419.05945,2.694888178913738,0.0019196992524540609,0.4080531569489732,0,1522,10.0,5.073331832885742,8.799999237060547,1.1333332061767578,737.5999755859375,0.0,0.8744091829844699,0.0795006570302234,27.900001525878906,22.0,14.600000381469727,30,5,23.0,28.0,0.3841119,0,32,11,3.604722222222222,-0.166448437488712,-1.0498492554567533,25.2,24.6,26.0,2.4313099041533546
VIN6_F_SM,true,2219533,58,396,38267.81034482759,24.8,24.2,28.082438,0.24629217,31.0,0.0013207314310134265,0.0038010171658245545,932.2158,31.96195,441.357,0.5252525252525253,0.0,0.428552418813642,0,191,5.0,5.094118118286133,10.421764373779297,1.2799999237060546,641.9099731445312,601.1099853515625,0.9476439790575916,0.005235602094240838,27.71147060394287,21.600000381469727,15.600000381469727,4,3,895.0,28.0,0.81374484,3,1056,6,3.926527777777778,-0.17738044318159202,-0.20889783966241537,24.7,23.8,25.295,0.4823232323232323
VIN19_NF_SM,false,3601637,92,602,39148.22826086957,25.0,24.6,28.115242,0.107479684,28.2,0.000015613019668714433,0.0,966.5502,26.434649,393.5093,0.3488372093023256,0.0,0.503321312390113,1,202,10.0,4.9882354736328125,8.009502410888672,1.1200000762939453,790.7149963378906,603.030029296875,0.9702970297029703,0.0297029702970297,28.129411697387695,22.389999389648438,18.200000762939453,13,13,517.0,28.2,0.11125517,2,550,,,,,,,,0.33554817275747506
VIN3_F_SM,true,1165335,37,248,31495.54054054054,23.0,22.0,28.329258,0.8233078,30.8,0.0035602452414403235,0.0008954339138431397,779.48865,11.734789,195.06818,1.0725806451612903,0.0,0.5087933289056321,0,262,8.0,6.387940406799316,10.374706268310547,1.519999885559082,613.75,602.8800048828125,0.9923664122137404,0.011450381679389313,27.287132263183594,20.100000381469727,15.800000190734863,4,1,899.0,28.2,0.94672966,0,109,20,3.770277777777778,-0.4473076395334507,-1.643847377998845,22.400002,21.39,24.3,1.0564516129032258
VIN7_F_SM,true,2733480,79,543,34601.012658227846,24.39,24.0,27.794579,0.115207404,28.39,0.000510520366116034,0.0,815.63525,21.696875,435.7268,1.701657458563536,0.0,0.5409310690559196,0,772,10.0,3.986874580383301,7.0352935791015625,1.2,944.7099914550781,603.6699829101562,0.9352331606217616,0.05829015544041451,24.799999237060547,21.389999389648438,18.0,6,4,899.0,27.8,0.1922957,112,2545,18,3.477222222222222,-0.1577159311280627,-0.4619001534976099,24.2,23.8,24.7,1.4217311233885819
VIN4_F_SM,true,1227142,22,151,55779.181818181816,24.8,24.39,28.133965,0.11090583,28.2,0.000055248846577251494,0.0,985.8301,27.609276,436.71335,1.7086092715231789,0.0,0.34927002166076254,0,244,5.0,4.400001525878906,7.343332290649414,1.0400001525878906,629.75,602.5499877929688,0.9713114754098361,0.01639344262295082,26.789093017578125,22.0,18.200000762939453,3,0,6.0,28.2,0.11194898,4,584,7,3.992777777777778,-0.14887320789103423,-0.25045220537080837,24.6,24.2,25.0,1.6158940397350994
VIN12_F_SM,true,2490690,50,344,49813.8,24.6,24.2,27.578827,0.15059428,28.39,0.00004320865868909821,2.0381442777876513e-6,823.4337,26.204498,418.45465,1.0843023255813953,0.0,0.23625963651541168,0,349,5.0,3.955277442932129,7.327144622802734,1.0974998474121094,780.469970703125,603.030029296875,0.9828080229226361,0.011461318051575931,25.392499923706055,22.0,17.389999389648438,1,1,121.0,27.6,0.24689789,1,517,6,3.4450000000000003,-0.45950550208530194,-0.4905305124103527,24.5,23.2,26.0,1.0145348837209303
VIN10_NF_SM,false,3168806,61,421,51947.639344262294,24.8,22.4,27.850523,0.15882958,28.2,0.0006988901624220737,0.0,1023.50995,34.707245,541.1014,1.156769596199525,0.0020897461062621063,0.27487969063579293,0,443,10.0,4.7055559158325195,8.000001907348633,1.2,610.7200012207031,0.0,0.822429906542056,0.056433408577878104,27.760000228881836,21.399999618530273,17.0,31,2,6.0,27.8,0.23802005,0,24,3,3.787777777777778,0.1056027153644019,-0.10476526931313092,25.6,25.4,25.0,1.0522565320665083
VIN11_NF_SM,false,4678423,74,490,63221.93243243243,25.4,24.8,28.010317,0.20434147,28.4,0.00043888013579740923,0.00003134858112838637,760.23584,19.100155,407.9308,9.204081632653061,0.0006476541347372822,0.36964877822786,1,4139,5.0,4.288311004638672,6.266666412353516,1.1199996948242188,614.5599975585938,0.0,0.6607324516785351,0.0927760328581783,27.74166774749756,22.399999618530273,19.0,69,8,6.0,28.0,0.25137252,0,40,183,4.568611111111111,-0.12523905259253648,-0.49953725357832013,25.6,25.2,26.0,8.446938775510205
